industry,country,layoff_count,workforce_percentage,total_funding_million_usd,stock_price_change_7d,revenue_growth_percent,market_cap_billion_usd,ai_automation_flag,year,hiring_status,company_size_encoded
Manufacturing,USA,150,27.95,776.54,-10.08,-0.82,468.37,1,2026,Slowdown,0
Tech,India,52,9.15,1085.19,-7.18,-4.38,347.92,0,2020,Hiring,0
Finance,Singapore,186,22.65,1061.65,3.25,8.9,121.0,1,2022,Freeze,2
FinTech,UK,6,11.88,1402.21,5.52,0.72,423.35,0,2026,Hiring,1
Energy,Germany,31,4.28,327.45,-8.71,9.4,449.29,0,2021,Freeze,2
Energy,Australia,233,12.07,614.2,-3.13,7.26,242.86,0,2025,Slowdown,2
Finance,USA,3,1.7,990.32,-8.88,25.15,89.49,1,2024,Hiring,0
Retail,Singapore,337,26.65,1138.78,-9.17,-15.55,46.93,0,2025,Hiring,1
EdTech,Germany,203,24.0,1957.89,3.98,2.89,243.42,0,2020,Hiring,2
FinTech,USA,288,20.6,1155.92,-9.86,14.39,246.31,0,2021,Freeze,0
EdTech,Germany,165,23.31,1538.27,-1.48,4.83,21.9,0,2024,Freeze,0
Energy,Canada,410,36.68,743.47,2.92,3.14,7.83,0,2025,Slowdown,1
FinTech,Japan,65,23.32,1960.76,-7.78,-9.24,37.77,0,2021,Hiring,1
FinTech,USA,184,13.36,343.14,0.08,7.6,278.44,0,2023,Slowdown,0
FinTech,Singapore,37,4.79,1231.94,-12.14,5.87,495.03,1,2021,Hiring,2
Finance,India,218,13.58,1698.1,11.23,11.75,68.4,1,2022,Slowdown,0
Tech,India,571,32.57,1621.18,3.98,5.36,433.55,0,2024,Slowdown,2
AI,Germany,75,32.13,1301.68,-1.59,8.48,351.01,1,2023,Freeze,1
AI,Japan,56,2.08,1159.84,6.61,-13.0,219.29,0,2023,Freeze,0
Finance,India,392,22.16,576.65,5.71,-2.08,295.46,1,2026,Freeze,2
Manufacturing,India,369,13.74,1656.6,1.15,4.29,135.84,0,2022,Hiring,1
FinTech,Canada,24,3.02,1065.05,3.63,25.45,270.36,0,2026,Slowdown,0
AI,India,142,38.81,1430.62,-18.92,-14.62,20.63,0,2021,Hiring,0
FinTech,UK,52,4.06,55.57,3.93,12.57,481.33,0,2023,Hiring,2
Manufacturing,Germany,39,3.27,1830.85,-4.64,0.21,221.23,0,2022,Freeze,1
Finance,Australia,257,37.45,1278.35,12.39,-6.81,258.4,1,2023,Freeze,0
AI,UK,157,17.36,499.22,11.98,1.44,178.05,0,2024,Freeze,2
Tech,India,97,30.77,1614.79,-6.99,36.7,173.22,0,2020,Hiring,2
FinTech,UK,459,25.02,1272.01,-14.49,26.62,22.75,0,2024,Freeze,0
Tech,Brazil,552,20.54,1081.06,-1.81,13.52,342.01,0,2022,Hiring,2
FinTech,Australia,6,2.03,1173.62,7.24,-23.46,470.12,1,2026,Hiring,0
Energy,USA,157,6.01,1623.35,0.58,22.06,410.34,0,2022,Slowdown,1
Retail,Canada,468,36.31,395.6,-7.98,9.21,34.77,0,2021,Hiring,1
Retail,Germany,238,26.57,773.87,-9.6,-13.57,340.84,1,2025,Hiring,1
Tech,Germany,110,5.61,1394.99,1.65,10.43,314.51,0,2024,Hiring,1
Manufacturing,Singapore,522,38.74,1098.2,10.5,33.06,211.79,0,2024,Hiring,1
AI,UK,200,17.09,747.18,-4.62,13.21,388.23,0,2026,Hiring,0
Energy,Brazil,24,10.31,1361.29,-13.74,-4.4,369.98,0,2023,Slowdown,2
Energy,Germany,470,20.37,782.29,-4.0,10.88,148.89,0,2022,Freeze,2
FinTech,Singapore,1135,38.07,1149.01,-6.57,-21.88,315.96,0,2022,Hiring,1
Manufacturing,Brazil,259,22.59,429.39,-1.01,-0.14,473.1,0,2021,Freeze,2
Energy,Brazil,358,20.28,119.83,-4.18,19.63,274.81,1,2024,Hiring,2
Energy,Australia,95,28.53,1937.46,-2.34,6.35,344.05,0,2021,Freeze,2
FinTech,USA,306,17.62,449.04,-2.37,-18.72,198.39,0,2023,Freeze,0
Manufacturing,Japan,268,15.6,744.43,7.88,-4.96,406.42,0,2024,Hiring,2
EdTech,UK,85,15.74,1411.64,-18.01,-5.87,124.44,0,2020,Slowdown,2
Manufacturing,India,5,1.44,939.98,3.17,24.07,28.25,1,2022,Hiring,0
Tech,USA,225,10.26,803.44,-9.75,5.86,238.91,0,2022,Hiring,2
Energy,Germany,458,38.57,29.25,-2.9,8.36,484.94,1,2024,Hiring,1
Tech,India,141,10.87,1392.35,-7.45,-2.08,37.81,0,2024,Slowdown,0
EdTech,USA,227,18.73,1256.98,4.81,3.34,292.2,1,2026,Freeze,0
EdTech,Singapore,101,14.09,343.51,-7.47,-15.29,323.46,0,2026,Freeze,1
FinTech,Australia,23,4.03,1948.92,12.01,10.13,493.11,0,2026,Slowdown,0
EdTech,Canada,192,17.04,1207.55,2.19,3.16,135.55,0,2022,Freeze,2
Retail,Canada,188,24.92,839.39,-5.26,3.9,466.37,1,2024,Freeze,2
AI,Brazil,945,39.5,305.08,-3.69,10.11,297.11,1,2023,Hiring,0
Retail,Australia,207,23.19,131.71,-6.88,8.28,18.51,0,2021,Freeze,0
Manufacturing,Singapore,303,39.99,1993.29,1.98,-1.75,277.76,0,2025,Hiring,0
Energy,USA,103,9.0,506.63,-5.06,10.0,137.44,0,2026,Hiring,1
AI,Australia,134,25.11,719.53,13.38,8.64,56.87,0,2024,Slowdown,2
Retail,Japan,790,33.42,619.02,7.74,11.21,408.21,0,2022,Freeze,1
Energy,Brazil,17,2.12,1511.5,2.49,-9.47,310.19,0,2024,Hiring,1
FinTech,USA,374,25.07,1961.02,13.42,17.35,304.08,0,2024,Slowdown,2
Finance,Australia,193,36.26,699.77,7.68,-2.3,257.04,0,2021,Hiring,0
Energy,Brazil,205,21.42,1396.8,-4.15,23.18,398.26,0,2022,Freeze,1
AI,Australia,392,18.91,1960.16,-14.53,21.84,246.36,0,2022,Hiring,1
FinTech,USA,462,21.95,922.94,-9.5,29.18,292.42,0,2023,Hiring,2
Tech,USA,88,8.09,694.61,-5.55,35.83,448.4,1,2022,Slowdown,0
Retail,UK,9,8.5,86.53,-7.47,-7.23,84.55,0,2025,Hiring,2
AI,Brazil,53,5.7,924.25,-21.26,5.86,103.25,0,2021,Slowdown,2
Finance,UK,275,13.54,189.12,12.79,6.84,240.62,0,2023,Hiring,2
Energy,Australia,112,36.91,126.85,3.06,14.21,138.51,0,2022,Slowdown,2
Retail,India,582,39.46,1075.5,-9.24,16.53,462.03,0,2023,Slowdown,0
Manufacturing,Singapore,24,19.04,1496.2,-10.9,17.77,18.44,0,2024,Slowdown,0
Manufacturing,USA,575,33.93,1500.48,4.21,-0.37,15.33,0,2024,Freeze,0
EdTech,UK,204,10.46,542.14,-11.65,-4.7,188.7,0,2024,Slowdown,2
AI,Singapore,86,10.1,689.14,-13.46,25.15,237.04,0,2025,Slowdown,1
AI,Brazil,60,4.39,1076.53,9.66,-1.61,293.46,1,2022,Freeze,1
EdTech,Australia,448,15.77,678.21,1.76,-16.23,449.83,1,2023,Freeze,1
EdTech,Germany,1011,39.47,1213.52,-6.9,-4.76,118.69,0,2023,Freeze,1
AI,Singapore,41,4.43,1612.7,-1.84,16.96,27.92,1,2020,Hiring,0
Energy,Japan,631,32.87,519.52,-1.34,12.92,85.53,0,2026,Freeze,2
EdTech,Japan,206,21.87,955.86,2.11,-8.65,419.31,0,2020,Hiring,1
Retail,Canada,60,10.45,234.1,-16.29,14.58,305.35,0,2026,Slowdown,1
Manufacturing,Australia,70,37.35,644.68,-20.11,-6.22,296.98,0,2026,Slowdown,1
AI,Canada,15,3.47,1979.97,3.08,-4.03,161.24,1,2022,Slowdown,0
Manufacturing,India,18,1.11,237.81,0.72,24.33,236.64,0,2026,Hiring,0
EdTech,Canada,435,37.25,1662.09,-7.83,10.57,482.52,0,2026,Freeze,2
Retail,Canada,122,9.0,761.56,0.98,13.69,463.23,0,2022,Freeze,0
FinTech,UK,128,8.86,331.49,5.28,13.15,82.22,0,2023,Slowdown,0
Healthcare,Japan,100,14.99,1755.02,7.41,1.25,196.28,0,2021,Freeze,2
EdTech,Japan,588,22.05,880.3,-15.91,-13.16,288.79,0,2023,Freeze,0
Finance,India,316,36.35,1250.35,1.55,7.48,58.54,0,2024,Slowdown,0
Tech,UK,41,6.43,1589.08,-2.34,19.49,310.07,1,2021,Hiring,1
Finance,Singapore,187,39.91,1506.04,0.1,-2.45,353.52,1,2024,Slowdown,2
FinTech,Australia,56,23.23,1526.11,-7.08,20.56,438.4,0,2025,Slowdown,1
AI,USA,194,15.77,916.72,-1.54,52.62,302.02,1,2026,Slowdown,0
AI,India,127,9.94,1445.89,5.07,25.79,360.05,0,2021,Slowdown,0
Healthcare,USA,394,28.93,1200.06,-0.39,3.32,413.42,0,2024,Slowdown,2
AI,USA,159,17.52,579.42,-6.52,0.97,307.51,0,2022,Freeze,2
EdTech,India,643,35.01,1864.58,-1.21,12.22,282.61,0,2022,Slowdown,2
Retail,Australia,15,6.95,1154.7,-7.09,28.9,303.4,1,2021,Slowdown,0
AI,UK,479,33.78,1821.82,-6.96,-4.41,61.49,0,2020,Freeze,0
AI,Japan,30,5.86,1842.08,1.19,43.08,434.96,0,2021,Freeze,2
Energy,Canada,112,15.79,1489.78,7.55,12.13,102.87,0,2025,Freeze,1
Tech,Australia,132,17.17,1727.72,-25.28,-18.34,461.49,0,2023,Hiring,1
Retail,USA,483,18.64,453.09,-5.18,1.31,226.27,0,2023,Hiring,0
FinTech,Japan,163,7.46,72.59,4.25,-5.77,155.81,0,2023,Freeze,2
EdTech,India,10,1.51,1328.76,-4.32,-6.99,89.1,0,2025,Freeze,1
Finance,UK,157,8.19,602.69,-18.29,-15.44,155.04,0,2023,Freeze,2
Energy,Singapore,378,36.02,414.25,-7.35,4.51,95.42,0,2020,Freeze,0
Manufacturing,India,357,23.91,591.62,12.6,41.45,357.06,0,2024,Slowdown,0
EdTech,Australia,205,16.63,1121.48,-5.04,9.35,77.7,0,2020,Freeze,2
EdTech,Japan,104,11.62,1795.37,-20.39,23.33,263.34,1,2020,Slowdown,1
AI,Japan,190,10.01,1345.43,-4.04,6.48,9.95,0,2025,Slowdown,0
Retail,UK,1006,35.61,1115.66,0.36,23.75,360.43,0,2023,Slowdown,0
Finance,Germany,208,37.83,286.46,-5.06,-4.05,203.26,1,2021,Slowdown,0
EdTech,Canada,16,4.33,419.73,-13.01,9.89,13.36,0,2025,Freeze,1
Retail,Japan,213,28.45,1821.69,-7.06,20.08,312.42,0,2026,Hiring,1
FinTech,UK,193,24.02,539.79,-20.36,23.7,312.11,0,2020,Freeze,1
AI,USA,159,12.48,1897.16,-3.25,19.58,381.83,0,2023,Slowdown,2
EdTech,UK,14,8.1,972.13,5.46,18.05,256.28,0,2025,Freeze,1
FinTech,Singapore,149,11.06,283.02,-0.22,5.28,417.48,0,2024,Hiring,1
Retail,Australia,331,11.62,41.69,-10.83,7.94,457.16,0,2022,Freeze,0
EdTech,Australia,35,3.62,813.47,-0.49,-3.42,248.78,1,2024,Hiring,1
FinTech,Brazil,27,6.34,1800.54,9.56,29.31,436.96,0,2021,Slowdown,0
Tech,UK,68,7.84,1829.25,-21.96,10.75,209.44,0,2024,Freeze,0
Manufacturing,Australia,17,7.49,1477.38,1.65,-16.52,41.49,0,2020,Slowdown,2
Manufacturing,Japan,66,33.65,877.2,9.01,16.22,457.77,1,2026,Hiring,2
AI,Germany,280,19.57,1329.02,2.6,-7.88,468.42,0,2021,Slowdown,0
Finance,Japan,95,11.23,1192.18,-3.77,43.4,25.81,0,2021,Hiring,0
Tech,Canada,134,25.31,951.1,-17.24,-10.69,172.26,1,2024,Hiring,1
FinTech,Australia,30,27.85,872.48,1.26,12.5,123.28,0,2026,Hiring,0
Energy,Germany,85,38.74,15.48,-7.76,19.79,51.64,0,2025,Hiring,0
AI,Japan,471,38.06,894.78,-2.04,20.97,92.65,0,2022,Freeze,1
FinTech,UK,232,30.6,1449.59,5.23,25.32,318.65,0,2020,Slowdown,1
Energy,Canada,203,37.82,83.66,-1.93,17.28,352.82,0,2025,Freeze,0
Finance,Germany,105,5.7,1463.39,-10.71,2.06,96.38,0,2024,Slowdown,1
AI,USA,302,19.49,1724.78,-7.13,19.07,422.29,0,2024,Slowdown,0
Tech,Japan,394,26.36,732.57,-3.4,20.28,280.38,1,2023,Freeze,2
Retail,Canada,184,14.26,1450.91,-18.44,11.19,32.77,0,2021,Slowdown,2
AI,Japan,394,26.8,1477.02,-4.57,20.15,260.13,1,2020,Slowdown,1
Finance,Canada,97,19.02,1980.73,-12.49,-1.56,0.22,1,2023,Hiring,0
FinTech,Brazil,540,32.15,1995.88,8.27,-2.76,175.42,0,2025,Hiring,1
EdTech,Canada,87,19.71,1163.61,-4.61,-7.09,135.92,1,2023,Hiring,1
Retail,Australia,306,21.38,1465.88,-5.4,-22.92,1.77,0,2026,Freeze,0
AI,Singapore,122,28.91,1180.27,-10.07,1.32,138.71,0,2021,Slowdown,1
AI,Australia,96,9.51,1900.17,-9.6,2.51,393.19,0,2024,Hiring,2
Tech,Singapore,590,35.48,1203.59,-8.28,2.76,451.87,0,2023,Slowdown,0
EdTech,Canada,509,26.34,1217.43,-7.25,-4.57,256.39,0,2024,Hiring,0
AI,Japan,7,2.43,1914.75,6.55,12.73,413.12,1,2021,Slowdown,0
Energy,Japan,275,35.47,1855.87,-12.39,-0.6,497.45,0,2024,Slowdown,1
Healthcare,Australia,159,20.16,1992.69,-8.33,38.54,448.73,0,2021,Freeze,2
Tech,Brazil,239,21.94,1187.92,-6.1,-4.19,290.09,0,2022,Hiring,1
Finance,Brazil,47,2.73,1705.13,-4.61,12.6,17.81,0,2026,Freeze,0
Retail,India,64,4.39,819.86,-10.61,18.26,186.41,0,2025,Hiring,2
Tech,USA,397,21.77,1924.43,-2.71,18.61,54.82,1,2023,Slowdown,0
Finance,Singapore,225,14.56,1357.64,-5.87,13.76,282.91,0,2022,Hiring,0
Healthcare,USA,689,26.68,1701.91,1.06,17.31,433.66,0,2023,Slowdown,0
Healthcare,India,547,37.27,216.14,-4.27,7.92,349.53,1,2020,Freeze,0
Manufacturing,USA,229,35.0,63.35,-9.67,-0.55,412.93,0,2021,Hiring,0
Energy,Singapore,59,32.9,1665.11,-2.63,7.87,253.78,0,2021,Freeze,1
FinTech,India,3,5.52,756.51,-1.48,1.68,4.64,0,2025,Slowdown,0
FinTech,Canada,158,30.68,1084.83,-14.53,23.13,481.5,0,2025,Freeze,0
Energy,India,393,30.39,1578.67,-7.83,12.36,86.96,0,2025,Hiring,0
Healthcare,India,118,23.7,695.04,0.02,-3.38,310.5,0,2021,Slowdown,2
FinTech,Brazil,68,15.96,135.92,-6.66,22.05,410.77,0,2024,Freeze,2
FinTech,Australia,154,27.65,894.58,-4.42,-13.45,136.89,0,2021,Slowdown,2
Retail,Australia,310,33.21,600.26,2.85,-5.85,419.99,0,2025,Freeze,1
Energy,Australia,365,38.57,67.45,-7.53,-22.7,365.66,0,2021,Freeze,1
AI,Brazil,239,35.87,463.76,-4.84,6.11,106.63,0,2021,Hiring,0
Finance,Australia,270,19.39,1088.75,-12.49,2.62,79.71,0,2021,Slowdown,0
FinTech,Singapore,37,1.7,1594.61,-13.73,2.58,147.15,0,2023,Freeze,1
Energy,USA,166,5.58,254.75,-5.53,-15.37,342.81,0,2023,Freeze,1
FinTech,Germany,81,7.27,1304.78,12.72,-16.8,163.03,0,2021,Hiring,0
FinTech,Brazil,222,18.75,28.18,-22.39,-1.78,36.32,0,2021,Hiring,2
FinTech,Singapore,205,29.15,1315.68,3.77,19.1,378.55,0,2020,Slowdown,2
Tech,UK,185,10.44,1973.39,-3.18,41.03,71.33,0,2023,Freeze,1
Healthcare,UK,251,14.49,1552.73,-9.24,5.94,470.62,0,2026,Hiring,0
Tech,India,266,14.67,71.24,-5.25,-10.02,39.38,0,2025,Freeze,1
Manufacturing,UK,81,8.83,1387.92,-5.19,6.53,410.74,0,2024,Freeze,2
Finance,USA,118,28.55,68.01,-8.18,5.89,468.11,0,2021,Hiring,2
Finance,Canada,540,37.47,1894.96,7.46,12.77,312.69,0,2024,Slowdown,1
Energy,Canada,108,4.12,1790.16,7.54,2.03,273.84,0,2022,Freeze,0
Finance,Canada,14,2.59,332.18,9.54,14.75,219.36,0,2026,Slowdown,2
Tech,Germany,115,7.22,1744.21,-7.59,12.84,109.69,1,2024,Hiring,0
AI,Germany,21,2.7,327.54,6.59,-14.67,10.53,0,2021,Freeze,1
Tech,Japan,140,39.02,1302.4,-1.31,-2.53,99.85,0,2024,Freeze,0
Retail,Singapore,141,11.05,927.93,3.99,18.99,434.15,0,2026,Freeze,0
Tech,Australia,128,25.52,1472.02,-0.22,51.57,383.89,0,2020,Freeze,0
Energy,Australia,234,23.57,880.04,-3.31,21.18,362.66,0,2024,Freeze,0
Manufacturing,UK,476,31.93,1311.74,-13.9,-8.32,496.07,0,2026,Freeze,2
Energy,India,186,25.63,1467.56,-0.91,12.41,65.87,0,2022,Freeze,2
Finance,Australia,467,25.67,748.83,-4.14,-5.56,256.36,1,2023,Freeze,0
Finance,Singapore,69,10.64,1742.15,-1.12,-28.52,222.71,0,2021,Hiring,2
Manufacturing,UK,15,4.72,1305.99,-5.36,20.71,156.14,1,2022,Freeze,0
Healthcare,UK,49,13.68,1548.08,0.82,4.3,65.52,0,2020,Freeze,2
EdTech,Brazil,63,7.62,1041.95,6.87,1.11,168.57,0,2023,Hiring,1
EdTech,Canada,501,25.07,1415.02,6.78,17.71,83.6,0,2023,Freeze,0
Finance,Canada,67,31.49,1412.24,5.72,7.61,223.24,0,2025,Hiring,0
AI,India,73,5.36,543.15,-2.58,15.91,28.64,0,2021,Slowdown,2
EdTech,Singapore,232,25.96,453.28,3.18,30.74,90.09,1,2020,Slowdown,2
Manufacturing,Japan,128,39.48,1930.41,0.62,7.09,2.57,0,2025,Freeze,0
Manufacturing,India,297,23.62,512.18,-19.7,11.42,260.91,0,2025,Hiring,0
EdTech,Japan,4,2.17,619.32,-11.43,14.19,352.37,0,2025,Hiring,2
Manufacturing,Canada,65,4.66,1346.84,-1.26,2.14,221.93,0,2024,Slowdown,1
Tech,Brazil,443,33.69,1889.51,-3.46,41.05,341.66,0,2020,Slowdown,0
Energy,Canada,116,23.25,65.62,6.5,21.58,465.48,0,2022,Freeze,0
Healthcare,Brazil,403,26.7,790.76,-9.03,9.54,325.65,0,2023,Slowdown,0
Finance,Canada,260,24.59,639.63,-7.06,1.07,433.23,1,2026,Freeze,2
FinTech,India,359,35.26,811.26,1.56,20.7,163.58,0,2024,Hiring,1
AI,UK,848,32.11,873.99,-11.23,6.81,408.94,1,2022,Hiring,1
Healthcare,UK,112,13.66,736.09,9.42,-8.28,198.15,0,2020,Slowdown,0
FinTech,USA,411,24.26,1093.65,-4.86,5.63,222.27,0,2023,Slowdown,0
Healthcare,UK,221,19.08,762.67,15.33,-32.49,431.68,0,2022,Slowdown,0
Tech,Australia,221,32.74,222.29,-1.63,-19.46,74.58,0,2024,Slowdown,1
EdTech,Germany,447,24.71,1530.94,0.14,1.21,406.51,1,2025,Freeze,1
Manufacturing,Japan,120,15.82,398.32,-6.42,-2.0,239.64,0,2025,Slowdown,1
Energy,UK,128,11.01,573.32,8.14,7.7,153.71,0,2022,Freeze,0
EdTech,Brazil,54,4.5,1436.68,-2.49,-10.88,200.01,0,2026,Slowdown,2
AI,India,99,8.08,1052.7,-10.5,7.41,354.55,1,2021,Slowdown,1
Energy,India,936,36.79,851.93,6.22,-1.92,43.61,0,2022,Hiring,1
Tech,Australia,451,25.69,1903.05,-2.68,5.73,300.85,0,2025,Freeze,0
Manufacturing,Germany,106,9.27,1223.91,-8.54,-13.66,205.57,0,2020,Slowdown,0
Manufacturing,UK,180,12.78,1465.26,1.56,20.43,425.6,0,2021,Freeze,1
Healthcare,Japan,244,25.33,906.28,-8.88,12.87,293.35,0,2025,Hiring,0
AI,Germany,262,19.44,1073.04,-8.92,-10.95,89.31,0,2021,Slowdown,2
Energy,India,175,10.05,784.86,-3.02,9.72,297.28,0,2023,Hiring,1
Retail,Australia,455,24.28,1353.3,-6.3,30.63,221.41,0,2026,Hiring,0
FinTech,USA,201,39.66,261.15,10.03,13.53,52.14,1,2025,Slowdown,0
AI,Australia,401,31.13,533.47,9.65,-19.47,322.68,0,2020,Hiring,1
Energy,UK,145,9.84,713.22,-2.73,-6.39,34.8,0,2020,Hiring,1
FinTech,Singapore,21,3.73,1282.14,3.96,30.34,135.65,0,2025,Freeze,0
Tech,Australia,257,13.65,669.34,0.35,30.09,334.78,0,2024,Hiring,2
Finance,Brazil,283,14.01,1163.05,0.02,6.66,44.47,0,2022,Slowdown,2
Healthcare,USA,93,7.65,821.91,-6.99,-30.03,211.4,1,2023,Slowdown,1
EdTech,Japan,213,38.99,44.95,3.31,-6.3,368.62,0,2022,Slowdown,0
Tech,Canada,103,21.32,1249.05,-0.11,-2.91,44.65,0,2022,Hiring,0
AI,Singapore,173,20.77,322.81,-6.26,0.64,31.65,0,2024,Freeze,1
Retail,Canada,120,15.05,179.85,1.06,-22.54,468.49,0,2024,Freeze,2
Finance,Brazil,149,11.91,1885.06,-7.24,11.74,436.68,0,2024,Freeze,2
Manufacturing,UK,76,39.69,1703.59,6.33,-1.58,104.33,0,2025,Slowdown,1
Finance,Australia,291,21.77,1444.24,-7.18,13.67,70.72,0,2020,Hiring,2
AI,Brazil,83,16.72,351.18,-3.07,5.42,347.51,0,2021,Slowdown,1
AI,Japan,688,37.38,1152.45,-15.78,18.69,239.73,0,2026,Slowdown,0
Manufacturing,Japan,229,24.64,1530.8,-2.49,-32.89,87.5,0,2020,Freeze,2
Tech,India,296,26.99,247.92,-2.71,-18.72,239.17,0,2024,Slowdown,2
Healthcare,USA,290,22.43,1931.82,-18.8,5.97,216.31,0,2021,Freeze,2
Healthcare,India,222,11.83,1703.64,-4.85,5.74,0.27,0,2022,Freeze,1
Tech,UK,49,6.93,127.39,-3.5,-5.33,390.4,0,2025,Freeze,1
Healthcare,Singapore,563,30.42,1240.9,-5.08,-13.46,148.75,0,2024,Slowdown,1
Retail,India,14,5.73,610.03,-1.64,-0.82,50.61,0,2020,Slowdown,1
FinTech,India,795,39.87,1628.87,-14.88,19.24,307.65,1,2022,Freeze,2
AI,Japan,110,34.07,1450.01,-11.48,30.72,396.07,0,2022,Hiring,0
Healthcare,Japan,89,15.34,831.19,3.1,18.18,413.79,0,2020,Freeze,2
Finance,Singapore,59,10.69,271.94,7.94,10.8,209.35,0,2026,Hiring,1
Healthcare,Brazil,98,6.35,1072.94,1.63,4.77,107.68,1,2025,Hiring,0
Retail,Japan,124,11.37,1293.95,-6.67,-5.3,249.72,0,2020,Slowdown,2
EdTech,Singapore,41,6.85,652.73,-6.56,-29.54,368.7,0,2021,Hiring,0
Energy,Japan,520,34.52,787.83,-1.67,11.98,478.12,0,2025,Slowdown,1
Healthcare,Brazil,226,18.07,513.07,-7.85,37.36,420.45,0,2020,Slowdown,1
Manufacturing,UK,136,16.07,903.0,4.81,3.14,113.56,0,2026,Hiring,0
FinTech,USA,88,6.86,1476.18,-2.28,1.57,256.16,1,2021,Freeze,0
Healthcare,Brazil,82,28.94,148.81,7.39,-7.04,35.72,0,2022,Freeze,2
AI,Germany,164,39.67,1941.65,6.56,-4.16,471.16,0,2026,Slowdown,0
FinTech,India,23,4.84,1322.3,-9.05,19.94,382.21,1,2025,Slowdown,2
Healthcare,Brazil,378,39.06,1336.36,-10.04,-7.92,5.31,0,2026,Hiring,0
AI,Germany,441,26.11,1062.95,11.39,26.83,21.07,0,2026,Slowdown,2
EdTech,Singapore,553,21.31,1234.92,-1.39,-7.44,78.4,0,2023,Hiring,1
Energy,Canada,95,17.85,881.61,-5.21,1.68,306.51,1,2025,Hiring,2
EdTech,Australia,11,1.5,1984.87,-5.88,16.19,335.76,0,2025,Freeze,0
Healthcare,Brazil,360,36.84,508.22,-4.12,23.21,377.55,0,2023,Hiring,1
FinTech,Singapore,337,22.75,365.29,-9.4,21.87,27.02,0,2021,Freeze,0
AI,Japan,588,37.56,91.13,-8.21,11.0,82.49,0,2022,Hiring,0
Energy,Australia,186,38.64,979.35,-17.18,-9.61,75.42,0,2022,Slowdown,1
Manufacturing,Germany,124,24.02,1019.18,1.99,32.17,148.84,0,2021,Freeze,2
AI,Japan,53,25.82,1523.44,-3.16,1.24,80.12,0,2020,Slowdown,1
Retail,Germany,53,29.93,1763.49,-4.58,8.68,139.02,0,2026,Hiring,0
EdTech,Japan,616,22.65,1467.48,-11.88,-2.72,308.03,0,2023,Hiring,0
Healthcare,Canada,239,22.01,1050.7,-0.45,9.69,424.04,0,2024,Hiring,1
Tech,Singapore,195,8.9,1916.36,-6.5,-8.31,184.03,0,2022,Freeze,2
Energy,Singapore,205,19.34,1006.59,-13.0,28.46,62.44,0,2025,Slowdown,1
Finance,UK,60,9.47,279.96,-12.45,-1.24,331.55,0,2021,Freeze,1
Manufacturing,UK,603,23.94,964.54,-8.5,6.9,321.2,0,2022,Freeze,2
